date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-10,Isiolo Town,Isiolo Central,0.3542,37.5822,High,3,1600,River overflow,8.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-05-02,Merti,Isiolo North,1.0667,38.5,High,4,2200,Flash flood,11.0,6,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-08,Isiolo Town,Isiolo Central,0.3542,37.5822,Critical,6,3400,River overflow,20.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-04-28,Garba Tulla,Isiolo East,0.5333,38.5333,Medium,1,800,Flash flood,4.0,8,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-15,Isiolo Town,Isiolo Central,0.3542,37.5822,High,3,1900,River overflow,9.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-25,Merti,Isiolo North,1.0667,38.5,High,4,2400,Flash flood,12.0,5,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-08,Isiolo Town,Isiolo Central,0.3542,37.5822,High,2,1400,River overflow,7.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-12,Kinna,Isiolo East,0.7167,38.3833,Medium,2,1200,Flash flood,5.5,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-05,Isiolo Town,Isiolo Central,0.3542,37.5822,Critical,7,3800,River overflow,24.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-11-10,Merti,Isiolo North,1.0667,38.5,High,3,1800,Flash flood,9.0,6,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
