date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-25,Malindi Town Centre,Malindi Central,-3.2167,40.1167,Critical,7,3800,River overflow,24.0,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2023-04-30,Mambrui,Malindi East,-3.1667,40.1333,High,3,2200,Coastal flooding,10.5,5,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2022-11-18,Shella Beach,Malindi West,-3.2333,40.0833,High,2,1600,Coastal flooding,8.0,5,False,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2022-05-08,Malindi Town,Malindi Central,-3.2167,40.1167,High,4,2800,River overflow,14.0,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2021-11-10,Sabaki Mouth,Malindi North,-3.15,40.15,Critical,8,4600,River overflow,28.0,3,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2021-04-25,Watamu,Malindi South,-3.3667,40.0167,Medium,1,900,Coastal flooding,4.5,7,False,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2020-11-15,Mambrui,Malindi East,-3.1667,40.1333,High,3,2100,River overflow,9.5,5,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2019-05-12,Malindi Town,Malindi Central,-3.2167,40.1167,High,2,1700,Flash flood,7.5,6,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2018-11-08,Sabaki River Delta,Malindi North,-3.15,40.15,Critical,9,5200,River overflow,32.0,3,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2017-05-04,Malindi Town,Malindi Central,-3.2167,40.1167,High,3,2400,River overflow,11.0,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
