date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-12,Meru Town,Imenti North,0.0467,37.65,High,3,1500,Flash flood,9.0,5,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2023-04-22,Nkubu,Imenti South,-0.1,37.6167,High,2,1200,River overflow,7.0,5,False,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2022-11-08,Meru Town,Imenti North,0.0467,37.65,Critical,5,2600,Flash flood,16.5,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2022-05-05,Timau,Buuri,0.1833,37.2833,Medium,1,700,Flash flood,3.5,8,False,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2021-11-18,Nkubu,Imenti South,-0.1,37.6167,High,3,1700,River overflow,10.0,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2021-04-25,Meru Town,Imenti North,0.0467,37.65,High,2,1300,Flash flood,7.5,5,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2020-11-10,Laare,Igembe North,0.2167,37.8333,Medium,1,800,Flash flood,4.0,7,False,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2019-05-08,Meru Town,Imenti North,0.0467,37.65,Critical,6,2900,Flash flood,19.5,3,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2018-11-15,Nkubu,Imenti South,-0.1,37.6167,High,2,1300,River overflow,7.0,5,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
2017-04-25,Meru Town,Imenti North,0.0467,37.65,High,3,1600,Flash flood,9.0,4,True,False,"Compiled from NDOC situation reports, Kenya Red Cross field reports, NCC drainage audits — verify individual incidents at reliefweb.int or ndoc.go.ke",compiled-unverified
