date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-10,Nanyuki Town,Laikipia North,0.0167,37.0667,High,2,1200,Flash flood,7.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-22,Timau,Buuri,0.1833,37.2833,High,3,1600,Flash flood,9.5,4,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-08,Nanyuki Town,Laikipia North,0.0167,37.0667,Critical,5,2600,Flash flood,16.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-05,Doldol,Laikipia East,0.4167,37.2,Medium,1,700,Flash flood,3.5,8,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-15,Nanyuki Town,Laikipia North,0.0167,37.0667,High,3,1700,Flash flood,9.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-22,Timau,Buuri,0.1833,37.2833,High,2,1300,Flash flood,7.5,5,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-08,Nanyuki Town,Laikipia North,0.0167,37.0667,High,2,1400,Flash flood,8.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-05-10,Nanyuki Town,Laikipia North,0.0167,37.0667,Critical,6,2900,Flash flood,19.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-11-12,Timau,Buuri,0.1833,37.2833,High,2,1200,Flash flood,7.0,5,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-04-25,Nanyuki Town,Laikipia North,0.0167,37.0667,High,3,1500,Flash flood,8.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
