date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-10,Nyeri Town Centre,Nyeri Central,-0.4167,36.95,High,3,1400,River overflow,9.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-25,Karatina,Mathira East,-0.4833,37.1167,High,4,1800,Flash flood,12.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-15,Othaya,Othaya,-0.5833,36.9333,Critical,5,2600,River overflow,18.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-05,Nyeri Town,Nyeri Central,-0.4167,36.95,High,2,1200,Drainage failure,7.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-18,Mukurwe-ini,Mukurwe-ini,-0.7,36.9667,High,3,1700,River overflow,10.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-22,Karatina,Mathira East,-0.4833,37.1167,High,2,1300,Flash flood,7.5,5,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-08,Othaya,Othaya,-0.5833,36.9333,High,3,1600,River overflow,9.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-05-10,Nyeri Town,Nyeri Central,-0.4167,36.95,Critical,6,2900,Flash flood,20.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-11-15,Mukurwe-ini,Mukurwe-ini,-0.7,36.9667,Medium,1,800,Drainage failure,4.0,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-04-28,Karatina,Mathira East,-0.4833,37.1167,High,3,1500,River overflow,8.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
